,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
221,ASM,Avino Silver & Gold Mines Ltd.,74.16M,-3.68%,948056,46.01M
222,ORGN,"Origin Materials, Inc.",73.50M,-5.69%,1476356,28.81M
223,ITRG,Integra Resources Corp.,69.31M,0.77%,108580,-
224,USGO,U.S. GoldMining Inc.,63.23M,-7.27%,6874,-
225,VGZ,Vista Gold Corp.,61.45M,-5.91%,580702,-
226,FURY,Fury Gold Mines Limited,60.04M,-6.59%,90534,-
227,HGAS,Global Gas Corporation,46.80M,-18.18%,42770,-
228,HYMC,Hycroft Mining Holding Corporation,46.47M,0.43%,125648,11.47M
229,USAS,Americas Gold and Silver Corporation,45.87M,-2.17%,2141277,84.89M
230,CGA,"China Green Agriculture, Inc.",43.67M,3.27%,1554,112.20M
231,BHIL,"Benson Hill, Inc.",42.45M,-4.76%,778441,404.61M
232,XPL,Solitario Zinc Corp.,39.91M,-4.15%,464703,-
233,HUDI,"Huadi International Group Co., Ltd.",38.50M,-1.45%,7308,84.33M
234,EVA,Enviva Inc.,34.31M,27.78%,10962523,1.13B
235,USAU,U.S. Gold Corp.,33.88M,-4.42%,32162,-
236,GORO,Gold Resource Corporation,31.42M,-13.61%,1528645,108.96M
237,ELBM,Electra Battery Materials Corporation,29.04M,0.13%,69200,-
238,BYU,"BAIYU Holdings, Inc.",27.07M,-3.45%,22023,120.11M
239,UAMY,United States Antimony Corporation,26.90M,-1.96%,129386,8.45M
240,WWR,"Westwater Resources, Inc.",25.77M,-1.53%,207782,-
241,FSI,"Flexible Solutions International, Inc.",23.50M,0.53%,17186,41.11M
242,PZG,Paramount Gold Nevada Corp.,22.99M,0.79%,106625,-
243,ZKIN,"ZK International Group Co., Ltd.",20.71M,-1.49%,6139,109.16M
244,INHD,Inno Holdings Inc.,19.71M,-0.65%,21950,657.36K
245,GRFX,Graphex Group Limited,19.52M,-0.25%,29647,42.01M
246,AAU,Almaden Minerals Ltd.,19.22M,0.79%,267633,-
247,SEED,Origin Agritech Limited,19.01M,1.99%,34507,12.83M
248,JCTCF,Jewett-Cameron Trading Company Ltd.,18.79M,-,223,51.52M
249,LITM,Snow Lake Resources Ltd.,17.88M,1.35%,51819,-
250,AUST,Austin Gold Corp.,16.86M,3.94%,190688,-
251,HLP,Hongli Group Inc.,16.45M,-4.32%,32174,18.71M
252,GURE,"Gulf Resources, Inc.",14.19M,1.61%,6374,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",7.75M,-1.00%,13362,4.82M
254,CNEY,CN Energy Group. Inc.,5.73M,-7.26%,58500,57.90M
255,AUMN,Golden Minerals Company,4.94M,-7.53%,154724,16.29M
256,SNES,"SenesTech, Inc.",4.25M,-11.19%,118703,1.19M
257,SVFD,"Save Foods, Inc.",4.17M,-0.69%,15226,381.68K
258,YTEN,"Yield10 Bioscience, Inc.",3.22M,-0.63%,93565,147.00K
259,ITP,"IT Tech Packaging, Inc.",3.12M,-3.23%,32223,86.96M
260,RKDA,"Arcadia Biosciences, Inc.",2.81M,1.59%,2778,5.50M
261,CRKN,Crown ElectroKinetics Corp.,2.02M,0.30%,2271593,59.00K
