,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
229,FHI,"Federated Hermes, Inc.",3.02B,-0.67%,663601,1.61B
230,NYCB,"New York Community Bancorp, Inc.",3.00B,-,40209967,5.07B
231,VIRT,"Virtu Financial, Inc.",2.99B,-0.73%,726408,2.29B
232,QFIN,Qifu Technology Inc.,2.96B,1.31%,4068463,2.30B
233,BHF,"Brighthouse Financial, Inc.",2.96B,-1.15%,363715,4.12B
234,PIPR,Piper Sandler Companies,2.93B,-1.53%,130617,1.35B
235,HTGC,"Hercules Capital, Inc.",2.89B,-1.37%,686304,460.67M
236,AX,"Axos Financial, Inc.",2.88B,-2.41%,555729,1.03B
237,BANF,BancFirst Corporation,2.88B,-1.94%,84356,602.41M
238,GSHD,"Goosehead Insurance, Inc",2.87B,-2.59%,161886,261.28M
239,CNO,"CNO Financial Group, Inc.",2.87B,-1.79%,752661,4.15B
240,CATY,Cathay General Bancorp,2.81B,-4.20%,475330,784.06M
241,FBP,First BanCorp.,2.81B,-2.62%,1634217,868.86M
242,GNW,"Genworth Financial, Inc.",2.81B,-2.05%,2603697,7.49B
243,TCBI,"Texas Capital Bancshares, Inc.",2.76B,-1.88%,391746,1.00B
244,INTR,"Inter & Co, Inc.",2.75B,-3.16%,1084574,975.89M
245,AVAL,Grupo Aval Acciones y Valores S.A.,2.75B,0.44%,55712,2.82B
246,FIBK,"First Interstate BancSystem, Inc.",2.71B,-4.03%,980896,993.60M
247,GBDC,"Golub Capital BDC, Inc.",2.70B,-1.25%,792064,630.98M
248,FHB,"First Hawaiian, Inc.",2.67B,-1.55%,929818,810.31M
249,AMK,"AssetMark Financial Holdings, Inc.",2.65B,0.98%,197425,714.45M
250,MCY,Mercury General Corporation,2.63B,-,202406,4.63B
251,WSFS,WSFS Financial Corporation,2.58B,-3.48%,256460,926.90M
252,VCTR,"Victory Capital Holdings, Inc.",2.58B,-1.07%,450810,821.03M
253,AUB,Atlantic Union Bankshares Corporation,2.55B,-2.47%,284491,670.27M
254,FULT,Fulton Financial Corporation,2.47B,-2.82%,893654,1.03B
255,CBU,"Community Bank System, Inc.",2.44B,-3.62%,345787,640.92M
256,BOH,Bank of Hawaii Corporation,2.44B,-3.19%,263886,664.63M
257,NMIH,"NMI Holdings, Inc.",2.43B,-0.63%,338601,579.00M
258,CVBF,CVB Financial Corp.,2.40B,-2.96%,773843,545.32M
259,BANC,"Banc of California, Inc.",2.33B,-3.67%,2261235,246.84M
260,PSEC,Prospect Capital Corporation,2.32B,-1.25%,1762130,883.81M
261,EBC,"Eastern Bankshares, Inc.",2.32B,-4.49%,1462583,292.60M
262,SFNC,Simmons First National Corporation,2.26B,-3.42%,437471,763.66M
263,WAFD,WaFd Inc,2.24B,-2.52%,453231,673.02M
264,PPBI,"Pacific Premier Bancorp, Inc.",2.22B,-4.57%,534447,440.99M
265,PAX,Patria Investments Limited,2.16B,-0.88%,224602,307.16M
266,INDB,Independent Bank Corp.,2.15B,-3.41%,296141,707.88M
267,SNEX,StoneX Group Inc.,2.11B,-0.80%,79945,67.42B
268,PUYI,Highest Performances Holdings Inc.,2.11B,-21.75%,7044,15.81M
269,PRK,Park National Corporation,2.08B,-0.92%,68591,462.84M
