,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
254,RVLV,"Revolve Group, Inc.",1.53B,-3.74%,656810,1.07B
255,LVWR,"LiveWire Group, Inc.",1.52B,-12.00%,35759,38.02M
256,VSCO,Victoria's Secret & Co.,1.50B,-2.42%,2424850,6.12B
257,AMWD,American Woodmark Corporation,1.50B,-1.49%,107052,1.88B
258,CBRL,"Cracker Barrel Old Country Store, Inc.",1.48B,1.64%,484567,3.43B
259,FWRG,"First Watch Restaurant Group, Inc.",1.45B,-0.04%,726281,891.55M
260,JACK,Jack in the Box Inc.,1.43B,2.34%,449041,1.65B
261,GIII,"G-III Apparel Group, Ltd.",1.39B,-12.07%,2262342,3.19B
262,GES,"Guess', Inc.",1.38B,-1.09%,982570,2.70B
263,XPEL,"XPEL, Inc.",1.38B,-2.47%,106260,396.29M
264,MCRI,"Monarch Casino & Resort, Inc.",1.37B,-1.10%,134711,501.48M
265,CAL,"Caleres, Inc.",1.35B,-1.29%,447419,2.82B
266,NWTN,NWTN Inc.,1.34B,-0.22%,41422,583.00K
267,OSW,OneSpaWorld Holdings Limited,1.33B,-2.79%,947921,794.05M
268,RSI,"Rush Street Interactive, Inc.",1.31B,-2.02%,786000,691.16M
269,PLYA,Playa Hotels & Resorts N.V.,1.30B,-0.42%,379101,977.50M
270,MSC,Studio City International Holdings Limited,1.30B,-3.69%,610,445.54M
271,SBH,"Sally Beauty Holdings, Inc.",1.30B,-4.28%,1303842,3.70B
272,OLPX,"Olaplex Holdings, Inc.",1.28B,-12.37%,2411030,458.30M
273,LESL,"Leslie's, Inc.",1.28B,-4.20%,4063538,1.43B
274,WINA,Winmark Corporation,1.22B,1.08%,25404,83.24M
275,GOOS,Canada Goose Holdings Inc.,1.20B,-4.55%,756806,954.14M
276,CWH,"Camping World Holdings, Inc.",1.15B,-5.72%,1246384,6.23B
277,EXTO,Almacenes Éxito S.A.,1.13B,-1.67%,65081,5.45B
278,KRUS,"Kura Sushi USA, Inc.",1.13B,-2.26%,54426,199.59M
279,SHCO,Soho House & Co Inc.,1.12B,-3.36%,170673,1.12B
280,CARS,Cars.com Inc.,1.11B,-2.64%,658095,689.18M
281,BLBD,Blue Bird Corporation,1.04B,-2.92%,358432,1.21B
282,TRS,TriMas Corporation,1.02B,-1.13%,179252,893.55M
283,BZH,"Beazer Homes USA, Inc.",1.01B,-6.68%,398389,2.15B
284,NGMS,NeoGames S.A.,968.60M,-0.14%,46745,191.54M
285,GDEN,"Golden Entertainment, Inc.",967.01M,-1.99%,134162,1.05B
286,ACEL,"Accel Entertainment, Inc.",955.36M,-1.05%,219061,1.17B
287,HOV,"Hovnanian Enterprises, Inc.",908.75M,-6.43%,103884,2.83B
288,TILE,"Interface, Inc.",898.04M,-3.05%,276984,1.26B
289,MNRO,"Monro, Inc.",883.61M,-4.21%,559911,1.28B
290,SCVL,"Shoe Carnival, Inc.",879.06M,0.06%,188934,1.19B
291,HIBB,"Hibbett, Inc.",875.47M,-1.80%,618525,1.72B
292,BJRI,"BJ's Restaurants, Inc.",849.62M,-3.60%,380584,1.33B
293,FIGS,"FIGS, Inc.",844.46M,-4.61%,3289564,545.65M
294,MBUU,"Malibu Boats, Inc.",829.69M,-5.25%,317475,1.21B
295,ETD,Ethan Allen Interiors Inc.,824.73M,-2.55%,165825,704.86M
296,WWW,"Wolverine World Wide, Inc.",810.22M,-1.48%,551703,2.24B
297,PTLO,Portillo's Inc.,805.13M,-2.68%,1301097,679.91M
298,MYE,"Myers Industries, Inc.",769.43M,-1.16%,453945,813.07M
299,AXL,"American Axle & Manufacturing Holdings, Inc.",763.30M,0.31%,3347555,6.08B
300,LAZR,"Luminar Technologies, Inc.",762.48M,-8.07%,10422424,69.78M
301,EVGO,"EVgo, Inc.",744.74M,-7.14%,3035507,160.95M
302,EVRI,Everi Holdings Inc.,739.77M,-1.66%,1409154,807.82M
303,DIN,"Dine Brands Global, Inc.",737.02M,-1.80%,188656,831.07M
304,SABR,Sabre Corporation,719.12M,-1.04%,6643509,2.91B
305,XPOF,"Xponential Fitness, Inc.",715.18M,-1.06%,624397,318.66M
306,CHPT,"ChargePoint Holdings, Inc.",707.28M,-5.06%,16786639,543.63M
307,JMIA,Jumia Technologies AG,705.32M,-3.00%,6308284,207.11M
308,SMP,"Standard Motor Products, Inc.",682.55M,-0.93%,230599,1.36B
309,BWMX,"Betterware de México, S.A.P.I. de C.V.",669.46M,4.00%,27849,767.35M
310,ARKO,Arko Corp.,668.99M,-4.62%,529041,9.41B
311,FLWS,"1-800-FLOWERS.COM, Inc.",668.19M,-2.03%,190176,1.91B
312,ECX,"ECARX Holdings, Inc.",668.04M,-2.04%,28794,4.67B
313,HZO,"MarineMax, Inc.",661.85M,-3.51%,357530,2.41B
314,DESP,"Despegar.com, Corp.",653.30M,2.91%,510156,647.92M
315,DADA,Dada Nexus Limited,652.41M,-1.97%,2047253,1.50B
316,BALY,Bally's Corporation,618.18M,-1.97%,754096,2.41B
317,LEGH,Legacy Housing Corporation,616.14M,-0.99%,38905,230.98M
318,DBI,Designer Brands Inc.,615.19M,-0.37%,1036029,3.08B
319,BH,Biglari Holdings Inc.,605.06M,-4.49%,1298,365.32M
320,MOV,"Movado Group, Inc.",604.55M,-4.86%,265901,687.25M
321,SDA,SunCar Technology Group Inc.,597.35M,-6.22%,403352,317.06M
322,KRT,Karat Packaging Inc.,586.95M,-1.67%,48035,402.74M
323,CHUY,"Chuy's Holdings, Inc.",578.13M,-2.40%,139782,461.31M
324,PACK,Ranpak Holdings Corp.,566.67M,7.14%,2020023,325.30M
325,PLOW,"Douglas Dynamics, Inc.",553.91M,-4.27%,189321,568.18M
326,WOOF,"Petco Health and Wellness Company, Inc.",551.45M,-18.25%,10358436,6.16B
327,HSAI,Hesai Group,551.10M,-5.69%,1541603,264.74M
328,SES,SES AI Corporation,546.64M,-3.90%,516511,-
329,TAST,"Carrols Restaurant Group, Inc.",544.01M,-,340329,1.88B
330,MLR,"Miller Industries, Inc.",542.41M,-1.52%,63226,1.15B
331,LQDT,"Liquidity Services, Inc.",542.20M,-0.40%,74918,313.51M
332,QRTEB,"Qurate Retail, Inc.",533.45M,-6.11%,1512,10.92B
333,QRTEA,"Qurate Retail, Inc.",533.45M,-6.30%,2101754,10.92B
334,HVT.A,"Haverty Furniture Companies, Inc.",524.97M,-0.61%,4,862.13M
335,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,521.60M,-,330979,907.59M
336,RICK,"RCI Hospitality Holdings, Inc.",520.02M,-2.16%,44435,297.73M
337,HVT,"Haverty Furniture Companies, Inc.",516.09M,-4.61%,191093,862.13M
338,HLLY,Holley Inc.,495.40M,0.96%,351035,659.70M
339,SRI,"Stoneridge, Inc.",469.79M,-2.05%,123672,975.82M
340,DENN,Denny's Corporation,466.10M,0.11%,368819,463.92M
341,JOUT,Johnson Outdoors Inc.,450.22M,-1.90%,49661,624.15M
342,LIND,"Lindblad Expeditions Holdings, Inc.",439.19M,1.81%,250300,569.54M
343,HNST,"The Honest Company, Inc.",436.31M,-1.73%,1230440,344.37M
344,NEGG,"Newegg Commerce, Inc.",425.74M,1.82%,378093,-
345,BBW,"Build-A-Bear Workshop, Inc.",415.15M,16.08%,1565348,481.95M
346,CURV,Torrid Holdings Inc.,399.76M,-5.65%,72609,1.19B
347,ONEW,OneWater Marine Inc.,396.64M,-3.15%,165986,1.93B
348,CSV,"Carriage Services, Inc.",395.80M,-2.95%,85894,382.52M
349,CRMT,"America's Car-Mart, Inc.",387.39M,-3.46%,150291,1.42B
350,RERE,ATRenew Inc.,378.79M,5.66%,1995834,1.83B
351,MED,"Medifast, Inc.",376.66M,-3.30%,590629,1.07B
352,MPX,Marine Products Corporation,364.86M,-1.33%,40453,383.73M
353,LOVE,The Lovesac Company,356.56M,-2.17%,182364,688.24M
354,MCFT,"MasterCraft Boat Holdings, Inc.",353.30M,-1.14%,125039,537.04M
355,AGS,"PlayAGS, Inc.",349.86M,-2.58%,180286,356.54M
356,SNBR,Sleep Number Corporation,344.48M,-5.42%,461267,1.89B
357,PBPB,Potbelly Corporation,338.65M,-2.10%,359505,491.41M
358,UHG,"United Homes Group, Inc.",329.79M,-8.58%,12118,419.74M
