,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
283,NVEE,"NV5 Global, Inc.",1.58B,-2.36%,88637,861.74M
284,HOLI,Hollysys Automation Technologies Ltd.,1.58B,-0.08%,325283,786.22M
285,GEO,"The GEO Group, Inc.",1.57B,1.46%,3295976,2.41B
286,BBU,Brookfield Business Partners L.P.,1.57B,-0.09%,30372,55.07B
287,MRTN,"Marten Transport, Ltd.",1.54B,-1.69%,863874,1.13B
288,GBX,"The Greenbrier Companies, Inc.",1.54B,-2.65%,266529,3.99B
289,NSSC,"Napco Security Technologies, Inc.",1.49B,-2.33%,330863,177.41M
290,CDRE,"Cadre Holdings, Inc.",1.48B,-9.85%,764661,482.53M
291,SCS,Steelcase Inc.,1.46B,-1.10%,438927,3.19B
292,HLIO,"Helios Technologies, Inc.",1.45B,-2.63%,143005,835.60M
293,DSGR,"Distribution Solutions Group, Inc.",1.45B,3.95%,91919,1.57B
294,EVEX,"Eve Holding, Inc.",1.41B,-0.77%,43805,-
295,PRG,"PROG Holdings, Inc.",1.40B,-0.34%,475105,2.41B
296,VVX,"V2X, Inc.",1.39B,-0.34%,116772,3.96B
297,FLYX,"flyExclusive, Inc.",1.39B,4.88%,30579,497.41M
298,DAC,Danaos Corporation,1.36B,-1.09%,76970,973.58M
299,ENVX,Enovix Corporation,1.34B,-2.14%,8204589,7.64M
300,KFRC,Kforce Inc.,1.33B,-2.04%,100550,1.53B
301,CMRE,Costamare Inc.,1.32B,-2.10%,418757,1.51B
302,KAMN,Kaman Corporation,1.30B,-0.04%,214711,775.85M
303,CDLR,Cadeler A/S,1.30B,0.24%,72077,-
304,CTOS,"Custom Truck One Source, Inc.",1.29B,-0.75%,570993,1.87B
305,ALGT,Allegiant Travel Company,1.28B,-4.30%,262668,2.51B
306,LNN,Lindsay Corporation,1.28B,-2.37%,87773,659.28M
307,NMM,Navios Maritime Partners L.P.,1.27B,-2.40%,284402,1.35B
308,APOG,"Apogee Enterprises, Inc.",1.25B,-1.41%,89066,1.40B
309,ZIP,"ZipRecruiter, Inc.",1.24B,4.41%,1061899,645.72M
310,WNC,Wabash National Corporation,1.24B,-2.77%,403096,2.54B
311,CMCO,Columbus McKinnon Corporation,1.21B,-2.45%,71497,1.00B
312,ASPN,"Aspen Aerogels, Inc.",1.20B,-14.75%,2030888,238.72M
313,VSEC,VSE Corporation,1.19B,-0.93%,104621,860.49M
314,NX,Quanex Building Products Corporation,1.18B,-1.96%,137674,1.11B
315,MEG,"Montrose Environmental Group, Inc.",1.15B,-2.90%,257358,624.21M
316,ARLO,"Arlo Technologies, Inc.",1.12B,3.51%,1640542,491.18M
317,ZIM,ZIM Integrated Shipping Services Ltd.,1.11B,-7.75%,11068477,5.16B
318,AMRC,"Ameresco, Inc.",1.08B,-2.09%,858127,1.37B
319,TGI,"Triumph Group, Inc.",1.07B,-1.87%,869679,1.36B
320,TDCX,TDCX Inc.,1.05B,-0.28%,251985,498.75M
321,RYI,Ryerson Holding Corporation,1.04B,-2.43%,258240,5.11B
322,SP,SP Plus Corporation,1.02B,0.04%,76851,1.78B
323,BXC,BlueLinx Holdings Inc.,1.02B,-2.11%,68471,3.14B
324,HY,"Hyster-Yale Materials Handling, Inc.",1.01B,-0.48%,117778,4.12B
325,CPLP,Capital Product Partners L.P.,997.03M,-1.25%,80060,360.59M
326,TRNS,"Transcat, Inc.",991.07M,1.84%,43039,250.64M
327,CRAI,"CRA International, Inc.",988.83M,-0.51%,29311,623.98M
328,THR,"Thermon Group Holdings, Inc.",976.38M,-0.59%,190462,489.46M
329,GRC,The Gorman-Rupp Company,967.46M,-1.25%,59274,659.51M
330,REVG,"REV Group, Inc.",965.56M,-3.18%,4960177,2.64B
